,Transaction_ID,Transaction_Date,Store_ID,Number_of_EMI,Purchased_in_Sale,Var1,Var2,Var3,Client_ID,Gender,DOB,Referred_Friend,Sales_Executive_ID,Sales_Executive_Category,Lead_Source_Category,Payment_Mode,Product_Category,result
0,100,12,80,2,0,1,1,0,345987325,1,9325,1,1522,0,3,3,1,45
1,62,12,33,2,0,1,1,0,346142732,1,10369,0,112,1,0,2,1,45
2,13,12,33,2,0,1,0,0,346082926,0,10838,0,368,0,3,2,1,45
3,134,12,153,8,0,3,1,0,346143553,1,726,0,2950,2,3,4,1,45
4,25,12,11,2,0,1,1,0,346142593,0,1484,0,81,1,0,2,1,45
5,179,12,13,3,0,1,0,0,346143897,1,43,0,1246,1,0,0,1,45
6,157,12,32,3,0,1,0,0,346143695,1,2479,0,2829,4,0,2,1,45
7,52,12,51,2,0,1,0,0,346142680,1,7696,1,3467,0,3,2,1,45
8,36,12,48,3,0,1,0,0,346142625,0,2154,0,3555,1,0,0,1,45
9,28,12,200,2,0,1,0,0,346118947,1,3910,0,4778,0,3,1,1,45
10,191,12,4,3,0,1,1,0,346143951,1,11174,0,1236,1,0,2,1,45
11,192,12,13,2,0,1,0,0,346103351,1,199,0,2255,0,3,2,1,45
12,136,12,44,3,0,1,1,0,346143555,0,4972,0,3976,1,0,0,1,45
13,20,12,35,3,0,1,0,0,346142493,1,12300,0,1314,1,0,0,1,45
14,5,12,22,2,0,1,0,0,346142450,1,8776,0,3508,0,3,1,1,45
15,14,12,22,2,0,1,0,0,346142450,1,8058,0,3508,0,3,1,1,45
16,98,12,38,3,0,1,0,0,346143206,0,9947,0,1255,1,0,0,1,45
17,132,12,32,2,0,1,0,0,346143544,0,8941,0,2829,4,0,2,1,45
18,178,12,31,3,0,1,0,0,346143887,0,3909,0,2015,1,0,0,1,45
19,53,12,73,3,0,1,0,0,346142689,1,3046,0,3501,1,0,0,1,45
20,121,12,73,3,0,1,0,0,346143499,1,2810,0,3501,1,0,2,1,45
21,181,12,49,1,1,2,0,0,346143902,0,5852,0,2795,0,3,1,1,45
22,96,12,1,3,0,1,0,0,346143140,1,9741,0,1217,1,0,2,1,45
23,119,12,1,3,0,1,0,0,346143469,0,10366,1,1217,1,0,2,1,45
24,103,12,11,2,0,1,0,0,346143302,0,3490,0,100,1,0,2,1,45
25,171,12,24,2,0,1,1,0,346143806,1,8775,0,8,2,1,2,1,45
26,138,12,24,3,0,1,1,0,346143585,1,9987,0,1232,1,0,0,1,45
27,104,12,44,3,0,1,0,0,346143303,1,9422,1,3976,1,0,0,1,45
28,86,12,120,8,0,3,0,0,346143044,1,9618,1,4004,0,3,4,1,45
29,143,12,73,3,0,1,0,0,346143611,0,1415,0,3501,1,0,2,1,45
30,90,12,1,3,0,1,0,0,346143087,1,6730,0,1217,1,0,1,1,45
31,0,12,24,2,0,1,0,0,346142437,1,9903,0,210,1,0,2,1,45
32,195,12,39,1,1,2,0,0,345674444,1,40,1,5284,0,3,2,1,45
