Transaction_ID,Transaction_Date,Store_ID,Number_of_EMI,Purchased_in_Sale,Var1,Var2,Var3,Client_ID,Gender,DOB,Referred_Friend,Sales_Executive_ID,Sales_Executive_Category,Lead_Source_Category,Payment_Mode,Product_Category,Transaction_Amount
TRA98825550,1-Jan-03,STO1281,2,N,1,1,1,345821599,F,19-Aug-71,NO,SD23011859,B,Advertisment,Credit/Debit Card,Cat A,17455
TRA98825710,1-Jan-03,STO1247,2,N,1,2,1,345821734,M,3-Jul-76,NO,SD23000293,B,Advertisment,Credit/Debit Card,Cat A,16503
TRA98823874,1-Jan-03,STO1244,2,N,1,1,1,345820365,F,4-Jan-59,NO,SD23011768,B,Advertisment,Credit/Debit Card,Cat A,15012
TRA98823889,1-Jan-03,STO1256,2,N,1,1,1,345820377,M,11-May-60,NO,SD23011691,B,Advertisment,Credit/Debit Card,Cat A,16051
TRA98824521,1-Jan-03,STO1445,2,N,1,2,1,345820841,F,24-Mar-62,NO,SD23003031,B,Reference,Cheque,Cat A,15108
TRA98824747,1-Jan-03,STO1233,2,N,1,1,1,345821008,M,11-Sep-75,NO,SD23011684,B,Advertisment,Cash,Cat A,17292
TRA98826034,1-Jan-03,STO1314,2,N,1,2,1,345821979,F,9-May-66,NO,SD23021263,B,Advertisment,Credit/Debit Card,Cat A,16982
TRA98825775,1-Jan-03,STO1243,2,N,1,2,1,345821781,M,19-Dec-57,YES,SD23012337,B,Advertisment,Credit/Debit Card,Cat A,20093
TRA98823882,1-Jan-03,STO1250,2,N,1,2,1,345820371,M,8-Aug-62,NO,SD23011854,B,Advertisment,Credit/Debit Card,Cat A,15495
TRA98824721,1-Jan-03,STO1291,2,N,1,1,1,345820984,M,21-Jan-81,YES,SD23011738,B,Advertisment,Cheque,Cat A,16592
TRA98826564,1-Jan-03,STO1264,2,N,1,1,1,345671632,M,21-Feb-62,NO,SD23011704,A,Walkin,Credit/Debit Card,Cat A,19794
TRA98824571,1-Jan-03,STO1250,2,N,1,2,1,345820877,F,4-Jun-63,NO,SD23011854,B,Advertisment,Credit/Debit Card,Cat A,19588
TRA98823911,1-Jan-03,STO1255,2,N,1,2,1,345820393,F,23-Oct-69,NO,SD23000253,B,Advertisment,Credit/Debit Card,Cat A,17738
TRA98823921,1-Jan-03,STO1244,2,N,1,2,1,345820404,M,4-Jan-79,NO,SD23001988,B,Advertisment,Credit/Debit Card,Cat A,19275
TRA98826182,1-Jan-03,STO1260,2,N,1,2,1,345822091,M,6-Jan-68,NO,SD23000212,B,Advertisment,Credit/Debit Card,Cat A,20241
TRA98824717,1-Jan-03,STO1260,2,N,1,2,1,345820982,F,6-Jan-56,NO,SD23000856,A,Walkin,Credit/Debit Card,Cat A,21527
TRA98826059,1-Jan-03,STO1304,2,N,1,1,1,345821997,M,20-Nov-66,NO,SD23001958,B,Advertisment,Credit/Debit Card,Cat A,22987
TRA98826007,1-Jan-03,STO1247,2,N,1,2,1,345821962,M,4-Jan-64,NO,SD23000656,B,Advertisment,Credit/Debit Card,Cat A,20278
TRA98824107,1-Jan-03,STO1233,2,N,1,1,1,345820541,M,27-Jul-81,NO,SD23011684,B,Advertisment,Cheque,Cat B,19200
TRA98826696,1-Jan-03,STO1233,2,N,1,1,1,345822478,F,20-Sep-81,NO,SD23011684,B,Advertisment,Credit/Debit Card,Cat B,22800
TRA98825254,1-Jan-03,STO1247,2,N,1,1,1,345821383,F,23-Apr-81,NO,SD23000452,B,Advertisment,Credit/Debit Card,Cat B,18000
TRA98825479,1-Jan-03,STO1390,2,N,1,2,1,345821546,M,5-Jun-81,YES,SD23011818,B,Advertisment,Cash,Cat B,23400
TRA98824294,1-Jan-03,STO1304,2,N,1,1,1,345820678,M,28-Sep-81,YES,SD23012027,B,Advertisment,Cash,Cat B,18600
TRA98824244,1-Jan-03,STO1247,2,N,1,2,1,345820646,M,2-Nov-80,NO,SD23000452,B,Advertisment,Credit/Debit Card,Cat B,18600
