,country,iso_numeric,g_whoregion,year,lab_sm,lab_sm_eqa,lab_sm_eqa_pass,lab_sm_led,lab_cul,lab_dst,lab_dst_eqa,lab_dst_eqa_pass,lab_lpa,lab_lpa_eqa,lab_xpert,lab_xpert_eqa,sldst_avail_incntry,sldst_avail_outcntry,collab_private_lab,collab_public_lab,nrl,nrl_srl_link,nrl_qms,iso2,iso3
5,0,4,2,2014,720.0,549.0,36.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2,1
10,1,8,3,2013,16.0,8.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,4
11,1,8,3,2014,16.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5,4
34,5,24,0,2013,95.0,95.0,95.0,9.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,8,2
52,8,32,1,2013,697.0,257.0,251.0,1.0,151.0,17.0,11.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,9,8
58,9,51,3,2013,29.0,29.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6,9
59,9,51,3,2014,26.0,26.0,24.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,6,9
100,16,50,4,2013,1085.0,1085.0,1025.0,187.0,3.0,3.0,2.0,2.0,1.0,0.0,26.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,20
101,16,50,4,2014,1104.0,1104.0,1037.0,240.0,3.0,3.0,2.0,2.0,1.0,0.0,38.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17,20
112,18,112,3,2013,154.0,154.0,131.0,3.0,29.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,32,25
125,20,84,1,2014,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,33,26
130,21,204,0,2013,78.0,78.0,73.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,17
131,21,204,0,2014,80.0,75.0,68.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,23,17
148,24,68,1,2013,559.0,503.0,420.0,2.0,73.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26,28
149,24,68,1,2014,563.0,511.0,423.0,1.0,62.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26,28
159,26,70,3,2013,15.0,15.0,15.0,2.0,13.0,4.0,4.0,4.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15,24
160,26,70,3,2014,16.0,16.0,15.0,16.0,12.0,7.0,7.0,7.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,15,24
166,27,72,0,2014,48.0,48.0,45.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,21.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,31,33
171,28,76,1,2013,3026.0,1175.0,829.0,1.0,345.0,39.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,28,29
172,28,76,1,2014,3382.0,1576.0,1059.0,1.0,324.0,26.0,4.0,4.0,1.0,0.0,48.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,28,29
183,30,96,5,2013,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,25,31
184,30,96,5,2014,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,25,31
189,31,100,3,2013,34.0,34.0,34.0,13.0,30.0,12.0,4.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20,21
190,31,100,3,2014,34.0,34.0,34.0,13.0,30.0,9.0,5.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20,21
195,32,854,0,2013,113.0,113.0,96.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19,19
196,32,854,0,2014,110.0,108.0,94.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,19,19
201,33,108,0,2013,170.0,170.0,148.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,22,15
202,33,108,0,2014,170.0,170.0,148.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,22,15
207,34,132,0,2013,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,47,46
208,34,132,0,2014,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,47,46
214,35,116,5,2014,215.0,211.0,192.0,29.0,4.0,3.0,3.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,99,102
