,Transaction_ID,Transaction_Date,Store_ID,Number_of_EMI,Purchased_in_Sale,Var1,Var2,Var3,Client_ID,Gender,DOB,Referred_Friend,Sales_Executive_ID,Sales_Executive_Category,Lead_Source_Category,Payment_Mode,Product_Category,Transaction_Amount
0,275,2,34,2,0,1,0,0,345821599,0,3877,0,2052,1,0,2,0,17455
1,304,2,11,2,0,1,1,0,345821734,1,8315,0,78,1,0,2,0,16503
2,24,2,9,2,0,1,0,0,345820365,0,9184,0,2036,1,0,2,0,15012
3,27,2,18,2,0,1,0,0,345820377,1,1004,0,2018,1,0,2,0,16051
4,116,2,133,2,0,1,1,0,345820841,0,6269,0,719,1,2,1,0,15108
5,153,2,1,2,0,1,0,0,345821008,1,1110,0,2015,1,0,0,0,17292
6,350,2,56,2,0,1,1,0,345821979,0,11418,0,3330,1,0,2,0,16982
7,316,2,8,2,0,1,1,0,345821781,1,3891,1,2130,1,0,2,0,20093
8,26,2,13,2,0,1,1,0,345820371,1,10779,0,2049,1,0,2,0,15495
9,146,2,41,2,0,1,0,0,345820984,1,5107,1,2030,1,0,1,0,16592
10,423,2,24,2,0,1,0,0,345671632,1,5062,0,2019,0,3,2,0,19794
11,121,2,13,2,0,1,1,0,345820877,0,9267,0,2049,1,0,2,0,19588
12,32,2,17,2,0,1,1,0,345820393,0,6005,0,59,1,0,2,0,17738
13,34,2,9,2,0,1,1,0,345820404,1,9204,0,494,1,0,2,0,19275
14,368,2,21,2,0,1,1,0,345822091,1,10066,0,37,1,0,2,0,20241
15,145,2,21,2,0,1,1,0,345820982,0,10054,0,231,0,3,2,0,21527
16,352,2,50,2,0,1,0,0,345821997,1,4882,0,489,1,0,2,0,22987
17,347,2,11,2,0,1,1,0,345821962,1,9189,0,170,1,0,2,0,20278
18,62,2,1,2,0,1,0,0,345820541,1,7280,0,2015,1,0,1,1,19200
19,439,2,1,2,0,1,0,0,345822478,0,4957,0,2015,1,0,2,1,22800
20,236,2,11,2,0,1,0,0,345821383,0,5706,0,112,1,0,2,1,18000
21,266,2,102,2,0,1,1,0,345821546,1,9723,1,2045,1,0,0,1,23400
22,88,2,50,2,0,1,0,0,345820678,1,7797,1,2076,1,0,0,1,18600
23,83,2,11,2,0,1,1,0,345820646,1,4513,0,112,1,0,2,1,18600
24,106,2,13,2,0,1,0,0,345744302,1,2173,0,389,0,3,2,1,23400
25,296,2,24,2,0,1,0,0,345821705,1,9683,0,10,2,1,2,1,18600
26,327,2,24,2,0,1,0,0,345821844,1,9646,0,23,1,0,2,1,19200
27,16,2,32,2,0,1,0,0,345820329,0,7477,0,2017,1,0,1,1,23400
28,171,2,18,2,0,1,0,0,345821114,1,11229,0,2018,1,0,2,1,22800
29,270,2,28,2,0,1,1,0,345821562,1,1482,1,2119,1,0,1,1,18000
30,446,2,38,2,0,1,1,0,345822519,1,377,0,2058,1,0,2,1,18600
31,336,2,52,2,0,1,0,0,345821887,1,10367,0,98,1,0,2,1,19200
32,308,2,1,2,0,1,0,0,345821743,1,7824,0,2015,1,0,2,1,24000
33,411,2,9,2,0,1,0,0,345822317,1,9387,0,15,1,0,2,1,24000
34,181,2,11,2,0,1,1,0,345821141,0,1849,0,112,1,0,2,1,23400
35,215,2,11,2,0,1,0,0,345821276,1,5133,0,170,1,0,2,1,19800
36,392,2,26,2,0,1,1,0,345822240,1,6317,0,698,1,0,2,1,23400
37,87,2,26,2,0,1,0,0,345820677,1,5165,1,1300,0,3,3,1,22200
38,209,2,41,2,0,1,1,0,345821254,1,1849,0,2030,1,0,2,1,24000
39,295,2,41,2,0,3,0,0,345821696,1,10155,1,2030,1,0,4,1,22200
40,268,2,11,2,0,1,1,0,345821558,1,10076,0,27,1,0,2,1,22200
41,320,2,11,2,0,1,1,0,345821814,1,9642,0,90,1,0,2,1,21600
42,426,2,41,2,0,1,0,0,345822404,1,6039,1,2030,1,0,1,1,22200
